model,category,semantic_name,raw_name,default,value,min,max,interpretation
DJI Air 3,Battery & power,battery_type,battery_type,1,0,0,4,configuration_or_persistent_state
DJI Air 3,Flight limits & regulation,ce_country_type,ce_country_type,0,643,0,2000,configuration_or_persistent_state
DJI Air 3,Per-aircraft calibration & bias state,compass0.status_data,compass0.status_data,0,4,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.acc_x,device_gyr_acc.busy.acc_x,0,0.064575,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.acc_y,device_gyr_acc.busy.acc_y,0,-0.0156915,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.acc_z,device_gyr_acc.busy.acc_z,0,-1.00101,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.gyro[0],device_gyr_acc.busy.gyro[0],0,0.00986191,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.gyro[1],device_gyr_acc.busy.gyro[1],0,0.000222596,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.gyro[2],device_gyr_acc.busy.gyro[2],0,0.00206569,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.gyro_temp,device_gyr_acc.busy.gyro_temp,0,65.1117,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",device_gyr_acc.busy.temp_ready,device_gyr_acc.busy.temp_ready,0,1,0,0,runtime_or_read_only
DJI Air 3,Flight modes & handling,disable_hover_mode_check,disable_hover_mode_check,0,1,0,1,configuration_or_persistent_state
DJI Air 3,"IMU, compass & calibration controls",fault_sum_history.acc_noise0,fault_sum_history.acc_noise0,0,1,0,65535,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",fault_sum_history.baro_drift0,fault_sum_history.baro_drift0,0,1,0,65535,runtime_or_read_only
DJI Air 3,"Diagnostics, service & simulator",fault_sum_history.fusion_switch,fault_sum_history.fusion_switch,0,13,0,65535,runtime_or_read_only
DJI Air 3,"Navigation, GNSS & positioning",fault_sum_history.gps,fault_sum_history.gps,0,6,0,65535,runtime_or_read_only
DJI Air 3,Flight limits & regulation,fscap_max_height,fscap_max_height,120,500,20,65535,configuration_or_persistent_state
DJI Air 3,"RTH, takeoff, landing & failsafe",g_config.fail_safe.protect_action,rc_lost_action|g_config.fail_safe.protect_action,2,0,0,3,configuration_or_persistent_state
DJI Air 3,Per-aircraft calibration & bias state,g_config.fdi_sensor[0].acc_bias,g_config.fdi_sensor[0].acc_bias,0,0.00175953,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",g_config.fdi_sensor[0].acc_stat,g_config.fdi_sensor[0].acc_stat,0,7,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,g_config.fdi_sensor[0].gyr_bias,g_config.fdi_sensor[0].gyr_bias,0,0.0092797,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",g_config.fdi_sensor[0].gyr_stat,g_config.fdi_sensor[0].gyr_stat,0,7,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,g_config.fdi_sensor[0].mag_over,g_config.fdi_sensor[0].mag_over,0,170.434,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,g_config.fdi_sensor[0].mag_stat,g_config.fdi_sensor[0].mag_stat,0,5,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",g_config.fdi_sensor[1].acc_stat,g_config.fdi_sensor[1].acc_stat,0,7,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",g_config.fdi_sensor[1].gyr_stat,g_config.fdi_sensor[1].gyr_stat,0,7,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,g_config.fdi_sensor[1].mag_stat,g_config.fdi_sensor[1].mag_stat,0,1,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",g_config.fdi_sensor[2].acc_stat,g_config.fdi_sensor[2].acc_stat,0,7,0,0,runtime_or_read_only
DJI Air 3,"IMU, compass & calibration controls",g_config.fdi_sensor[2].gyr_stat,g_config.fdi_sensor[2].gyr_stat,0,7,0,0,runtime_or_read_only
DJI Air 3,Per-aircraft calibration & bias state,g_config.fdi_sensor[2].mag_stat,g_config.fdi_sensor[2].mag_stat,0,1,0,0,runtime_or_read_only
DJI Air 3,Flight limits & regulation,g_config.flying_limit.max_height,g_config.flying_limit.max_height,120,500,20,500,configuration_or_persistent_state
DJI Air 3,Flight limits & regulation,g_config.flying_limit.user_set_max_height,g_config.flying_limit.user_set_max_height,120,500,20,65535,configuration_or_persistent_state
DJI Air 3,"RTH, takeoff, landing & failsafe",g_config.go_home.fixed_go_home_altitude,go_home_height|g_config.go_home.fixed_go_home_altitude,100,120,20,1500,configuration_or_persistent_state
DJI Air 3,"RC, radio, lights & interfaces",g_config.misc_cfg.forearm_lamp_ctrl,forearm_led_ctrl|g_config.misc_cfg.forearm_lamp_ctrl,239,0,0,255,configuration_or_persistent_state
DJI Air 3,Flight modes & handling,g_config.mode_sport_cfg.rc_scale,g_config.mode_sport_cfg.rc_scale,0.9622,0.962207,1e-07,1.5,configuration_or_persistent_state
DJI Air 3,Flight modes & handling,g_config.mode_tripod_cfg.rc_scale,g_config.mode_tripod_cfg.rc_scale,0.16779,0.167795,0.01,1,configuration_or_persistent_state
DJI Air 3,"Diagnostics, service & simulator",g_status.ns_busy_dev,g_status.ns_busy_dev,0,1366,0,0,runtime_or_read_only
DJI Air 3,"Diagnostics, service & simulator",g_status.topology_verify.user_interface.mag_status,g_status.topology_verify.user_interface.mag_status,0,1,0,0,runtime_or_read_only
DJI Air 3,"Diagnostics, service & simulator",g_status.user_info.statistical_info.total_distance,g_status.user_info.statistical_info.total_distance,0,684300,0,0,runtime_or_read_only
DJI Air 3,"Diagnostics, service & simulator",g_status.user_info.statistical_info.total_fly_times,g_status.user_info.statistical_info.total_fly_times,0,129,0,0,runtime_or_read_only
DJI Air 3,"Motors, ESC & propulsion",g_status.user_info.statistical_info.total_motor_start_time,g_status.user_info.statistical_info.total_motor_start_time,0,93560.4,0,0,runtime_or_read_only
DJI Air 3,Battery & power,g_status.user_info.statistical_info.total_powerup_times,g_status.user_info.statistical_info.total_powerup_times,0,308,0,0,runtime_or_read_only
DJI Air 3,"Diagnostics, service & simulator",g_status.user_info.statistical_info_new.total_distance_new,g_status.user_info.statistical_info_new.total_distance_new,0,680493,0,0,runtime_or_read_only
DJI Air 3,"Diagnostics, service & simulator",g_status.user_info.statistical_info_new.total_fly_times_new,g_status.user_info.statistical_info_new.total_fly_times_new,0,129,0,0,runtime_or_read_only
DJI Air 3,"Motors, ESC & propulsion",g_status.user_info.statistical_info_new.total_motor_start_time_new,g_status.user_info.statistical_info_new.total_motor_start_time_new,0,90819.1,0,0,runtime_or_read_only
DJI Air 3,"RTH, takeoff, landing & failsafe",gear_landing_abnormal_exit,gear_landing_abnormal_exit,0,1,0,100,configuration_or_persistent_state
