model_a,model_b,shared_parameters,union_parameters,jaccard_percent,same_default_among_shared,same_definition_among_shared,only_in_a,only_in_b
DJI Air 3,DJI Air 3S,775,922,84.06,727,718,46,101
DJI Air 3,DJI Mini 4 Pro,794,831,95.55,693,686,27,10
DJI Air 3,DJI Neo,751,910,82.53,583,579,70,89
DJI Air 3,DJI Neo 2,750,998,75.15,590,575,71,177
DJI Air 3,DJI Flip,751,916,81.99,633,626,70,95
DJI Air 3,DJI Avata 360,737,1011,72.9,609,595,84,190
DJI Air 3,DJI Lito X1,760,1013,75.02,645,631,61,192
DJI Air 3S,DJI Mini 4 Pro,759,921,82.41,638,627,117,45
DJI Air 3S,DJI Neo,810,906,89.4,635,633,66,30
DJI Air 3S,DJI Neo 2,819,984,83.23,650,637,57,108
DJI Air 3S,DJI Flip,829,893,92.83,706,701,47,17
DJI Air 3S,DJI Avata 360,803,1000,80.3,667,658,73,124
DJI Air 3S,DJI Lito X1,834,994,83.9,706,699,42,118
DJI Mini 4 Pro,DJI Neo,759,885,85.76,573,569,45,81
DJI Mini 4 Pro,DJI Neo 2,758,973,77.9,584,569,46,169
DJI Mini 4 Pro,DJI Flip,759,891,85.19,691,686,45,87
DJI Mini 4 Pro,DJI Avata 360,744,987,75.38,605,595,60,183
DJI Mini 4 Pro,DJI Lito X1,743,1013,73.35,642,633,61,209
DJI Neo,DJI Neo 2,839,928,90.41,749,738,1,88
DJI Neo,DJI Flip,818,868,94.24,642,640,22,28
DJI Neo,DJI Avata 360,800,967,82.73,648,643,40,127
DJI Neo,DJI Lito X1,813,979,83.04,625,620,27,139
DJI Neo 2,DJI Flip,827,946,87.42,655,642,100,19
DJI Neo 2,DJI Avata 360,879,975,90.15,723,720,48,48
DJI Neo 2,DJI Lito X1,883,996,88.65,711,709,44,69
DJI Flip,DJI Avata 360,805,968,83.16,660,652,41,122
DJI Flip,DJI Lito X1,805,993,81.07,685,678,41,147
DJI Avata 360,DJI Lito X1,888,991,89.61,759,756,39,64
