semantic_name,aliases,category,calibration_scope,transferability,present_in_profiles,DJI Air 3 | value,DJI Air 3 | default,DJI Air 3 | min,DJI Air 3 | max,DJI Air 3S | value,DJI Air 3S | default,DJI Air 3S | min,DJI Air 3S | max,DJI Mini 4 Pro | value,DJI Mini 4 Pro | default,DJI Mini 4 Pro | min,DJI Mini 4 Pro | max,DJI Neo | value,DJI Neo | default,DJI Neo | min,DJI Neo | max,DJI Neo 2 | value,DJI Neo 2 | default,DJI Neo 2 | min,DJI Neo 2 | max,DJI Flip | value,DJI Flip | default,DJI Flip | min,DJI Flip | max,DJI Avata 360 | value,DJI Avata 360 | default,DJI Avata 360 | min,DJI Avata 360 | max,DJI Lito X1 | value,DJI Lito X1 | default,DJI Lito X1 | min,DJI Lito X1 | max
ETD6405_SN_Checked,ETD6405_SN_Checked,Other / opaque internal,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
ETD6405_SN_Matched,ETD6405_SN_Matched,Other / opaque internal,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
ETD6405_SN_No_Check,ETD6405_SN_No_Check,Other / opaque internal,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
EU_CE_Reg_120Height_Enable,EU_CE_Reg_120Height_Enable,Flight limits & regulation,,,6,,,,,0,0,0,0,,,,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EU_CE_Reg_FollowMe_Enable,EU_CE_Reg_FollowMe_Enable,Flight limits & regulation,,,6,,,,,1,0,0,0,,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
EU_CE_Reg_GeoSense_Enable,EU_CE_Reg_GeoSense_Enable,Flight limits & regulation,,,6,,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
EU_CE_Reg_Level,EU_CE_Reg_Level,Flight limits & regulation,,,6,,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
EU_CE_Reg_LowSpeedMode_Enable,EU_CE_Reg_LowSpeedMode_Enable,Flight limits & regulation,,,6,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU_CE_Reg_MxSpeedLimit_Enable,EU_CE_Reg_MxSpeedLimit_Enable,Flight limits & regulation,,,6,,,,,1,0,0,0,,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
EU_CE_Reg_RID_Enable,EU_CE_Reg_RID_Enable,Flight limits & regulation,,,6,,,,,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
