model,scope,semantic_name,raw_name,value,default,min,max,transferability
DJI Air 3,calibration_control_or_health_rule,acc_fdi_open_bias,acc_fdi_open_bias,1,1,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,calibration_control_or_health_rule,acc_fdi_open_cali_err,acc_fdi_open_cali_err,1,1,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,model_sensor_geometry,antenna_gps1_2_x,antenna_gps1_2_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,antenna_gps1_2_y,antenna_gps1_2_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,antenna_gps1_2_z,antenna_gps1_2_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,antenna_gps1_x,antenna_gps1_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,antenna_gps1_y,antenna_gps1_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,antenna_gps1_z,antenna_gps1_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,per_aircraft_calibration_or_bias_state,compass0.cali_step,compass0.cali_step,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,compass0.status_data,compass0.status_data,4,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,device_gyr_acc.busy.cali_cnt,device_gyr_acc.busy.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,calibration_control_or_health_rule,fscap_imu_propeller_cali_enable,fscap_imu_propeller_cali_enable,0,0,0,8,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,per_aircraft_calibration_or_bias_state,g_cfg_debug.imu_cali_state[1][1],g_cfg_debug.imu_cali_state[1][1],0,0,0,127,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_cfg_debug.imu_cali_state[2][1],g_cfg_debug.imu_cali_state[2][1],0,0,0,127,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,calibration_control_or_health_rule,g_config.cali_switch.imu_propeller_cali,imu_propeller_cali|g_config.cali_switch.imu_propeller_cali,2,2,0,8,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].acc_bias,g_config.fdi_sensor[0].acc_bias,0.00175953,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].gyr_bias,g_config.fdi_sensor[0].gyr_bias,0.0092797,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].mag_over,g_config.fdi_sensor[0].mag_over,170.434,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].mag_stat,g_config.fdi_sensor[0].mag_stat,5,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].acc_bias,g_config.fdi_sensor[1].acc_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].gyr_bias,g_config.fdi_sensor[1].gyr_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].mag_over,g_config.fdi_sensor[1].mag_over,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].mag_stat,g_config.fdi_sensor[1].mag_stat,1,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].acc_bias,g_config.fdi_sensor[2].acc_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].gyr_bias,g_config.fdi_sensor[2].gyr_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].mag_over,g_config.fdi_sensor[2].mag_over,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].mag_stat,g_config.fdi_sensor[2].mag_stat,1,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.cali_cnt,g_status.all_gyr_acc.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.cali_state,g_status.all_gyr_acc.cali_state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.msc_current_side,g_status.all_gyr_acc.msc_current_side,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.msc_sampled_side,g_status.all_gyr_acc.msc_sampled_side,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.need_cali_type,g_status.all_gyr_acc.need_cali_type,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,model_sensor_geometry,gps0_x,gps0_x,47,47,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps0_y,gps0_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps0_z,gps0_z,-33,-33,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps1_x,gps1_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps1_y,gps1_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps1_z,gps1_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps2_x,gps2_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps2_y,gps2_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,gps2_z,gps2_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,calibration_control_or_health_rule,gyr_fdi_open_bias,gyr_fdi_open_bias,1,1,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,calibration_control_or_health_rule,gyr_fdi_open_bias_minor,gyr_fdi_open_bias_minor,1,1,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,per_aircraft_calibration_or_bias_state,imu0_cali_status.cali_cnt,imu0_cali_status.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu0_cali_status.state,imu0_cali_status.state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,model_sensor_geometry,imu0_direction,imu0_direction,0,0,0,9,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu0_mount_x,imu0_mount_x,0,0,-180,180,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu0_mount_y,imu0_mount_y,0,0,-90,90,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu0_mount_z,imu0_mount_z,0,0,0,360,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu0_x,imu0_x,51,51,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu0_y,imu0_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu0_z,imu0_z,-22,-22,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu1_cali_status.cali_cnt,imu1_cali_status.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu1_cali_status.state,imu1_cali_status.state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,model_sensor_geometry,imu1_direction,imu1_direction,0,0,0,8,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu1_mount_x,imu1_mount_x,0,0,-180,180,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu1_mount_y,imu1_mount_y,0,0,-90,90,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu1_mount_z,imu1_mount_z,0,0,0,360,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu1_x,imu1_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu1_y,imu1_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu1_z,imu1_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu2_cali_status.cali_cnt,imu2_cali_status.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu2_cali_status.state,imu2_cali_status.state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,model_sensor_geometry,imu2_direction,imu2_direction,0,0,0,8,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu2_x,imu2_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu2_y,imu2_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu2_z,imu2_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,calibration_control_or_health_rule,imu_app_temp_cali.cali_cnt,imu_cali_0.acc_gyro[0].cali_cnt|imu_app_temp_cali.cali_cnt,0,0,0,0,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_app_temp_cali.start_flag,imu_app_temp_cali.start_flag|g_cfg_debug.imu_cali_state[0][1],0,0,0,127,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,calibration_control_or_health_rule,imu_app_temp_cali.state,imu_cali_0.acc_gyro[0].state|imu_app_temp_cali.state,0,0,0,0,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_0.acc_gyro[0].acc_temp,imu_cali_0.acc_gyro[0].acc_temp,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_0.acc_gyro[0].gyro_temp,imu_cali_0.acc_gyro[0].gyro_temp,65.1117,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_0.acc_gyro[0].temp_ready,imu_cali_0.acc_gyro[0].temp_ready,1,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_1.acc_gyro[1].acc_temp,imu_cali_1.acc_gyro[1].acc_temp,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_1.acc_gyro[1].cali_cnt,imu_cali_1.acc_gyro[1].cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
